trip_id,driver_id,vehicle_id,origin_node_id,destination_node_id,start_time,end_time,planned_network_distance_m,scenario_id
T0025,D0025,V0025,N0321640,N0006965,2026-09-01T08:30:00+07:00,2026-09-01T08:47:59.810151999+07:00,5740.5,NEED_CHARGING
T0026,D0006,V0006,N0330456,N0128776,2026-09-01T08:36:00+07:00,2026-09-01T08:49:02.454562857+07:00,6692.7,NEED_SWAP
T0027,D0027,V0027,N0141373,N0214402,2026-09-01T08:42:00+07:00,2026-09-01T08:48:41.285294357+07:00,2976.4,NEAREST_FULL
T0028,D0028,V0028,N0091986,N0140371,2026-09-01T08:48:00+07:00,2026-09-01T09:03:54.346175999+07:00,6254.0,STATION_OFFLINE
T0029,D0029,V0029,N0321042,N0145501,2026-09-01T08:54:00+07:00,2026-09-01T09:01:29.591472+07:00,3122.2,INCOMPATIBLE_STATION
T0030,D0030,V0030,N0035469,N0061529,2026-09-01T09:00:00+07:00,2026-09-01T09:15:02.695698+07:00,4799.9,LONG_QUEUE
T0031,D0031,V0031,N0076600,N0020947,2026-09-01T09:06:00+07:00,2026-09-01T09:14:05.587275428+07:00,3290.9,FARTHER_BUT_FASTER
T0032,D0032,V0032,N0260221,N0071644,2026-09-01T09:12:00+07:00,2026-09-01T09:33:10.260621714+07:00,6997.2,HEAVY_TRAFFIC
T0033,D0033,V0033,N0327672,N0014528,2026-09-01T09:18:00+07:00,2026-09-01T09:36:59.700605500+07:00,6653.9,INSUFFICIENT_RANGE
T0034,D0034,V0034,N0045067,N0116614,2026-09-01T09:24:00+07:00,2026-09-01T09:42:01.646671999+07:00,6792.3,GPS_NOISE
T0035,D0035,V0035,N0111405,N0133810,2026-09-01T09:30:00+07:00,2026-09-01T09:45:28.496892571+07:00,5852.4,GPS_MISSING
T0036,D0036,V0036,N0205168,N0171352,2026-09-01T09:36:00+07:00,2026-09-01T09:51:24.186952+07:00,6233.0,PARALLEL_ROADS
T0037,D0037,V0037,N0088964,N0263452,2026-09-01T09:42:00+07:00,2026-09-01T09:56:21.833455999+07:00,4956.4,BRIDGE_AMBIGUITY
T0038,D0038,V0038,N0119801,N0119618,2026-09-01T09:48:00+07:00,2026-09-01T09:56:09.035088+07:00,3357.4,QUEUE_REALTIME_CHANGE
T0039,D0039,V0039,N0047331,N0047325,2026-09-01T09:54:00+07:00,2026-09-01T10:06:11.636911999+07:00,4764.8,TRAFFIC_REALTIME_CHANGE
T0040,D0040,V0040,N0090205,N0321642,2026-09-01T10:00:00+07:00,2026-09-01T10:13:29.828455999+07:00,4111.5,STATION_STATUS_CHANGE
T0041,D0041,V0041,N0171936,N0001429,2026-09-01T10:06:00+07:00,2026-09-01T10:13:07.287196571+07:00,2702.2,NO_AVAILABLE_STATION
T0042,D0042,V0042,N0053958,N0072442,2026-09-01T10:12:00+07:00,2026-09-01T10:35:06.503472499+07:00,7795.1,NEAR_TIE_STATIONS
T0043,D0043,V0043,N0251916,N0137606,2026-09-01T10:18:00+07:00,2026-09-01T10:36:29.475401142+07:00,8191.9,NORMAL_TRIP
T0044,D0044,V0044,N0090474,N0090779,2026-09-01T10:24:00+07:00,2026-09-01T10:32:16.995832+07:00,2624.5,NO_SERVICE_NEEDED
T0045,D0045,V0045,N0278998,N0059135,2026-09-01T10:30:00+07:00,2026-09-01T10:43:24.904755999+07:00,5805.9,LOW_SOC
T0046,D0046,V0046,N0282104,N0238766,2026-09-01T10:36:00+07:00,2026-09-01T10:51:15.405576+07:00,5002.5,NEED_CHARGING
T0047,D0009,V0009,N0188550,N0334027,2026-09-01T10:42:00+07:00,2026-09-01T11:02:26.722536+07:00,6990.9,NEED_SWAP
T0048,D0048,V0048,N0082779,N0082840,2026-09-01T10:48:00+07:00,2026-09-01T11:02:56.856998500+07:00,5767.5,NEAREST_FULL
T0049,D0049,V0049,N0296962,N0047046,2026-09-01T10:54:00+07:00,2026-09-01T11:05:08.143130357+07:00,4274.8,STATION_OFFLINE
T0050,D0050,V0050,N0315061,N0321242,2026-09-01T11:00:00+07:00,2026-09-01T11:24:18.059000+07:00,7290.3,INCOMPATIBLE_STATION
T0051,D0051,V0051,N0105658,N0300188,2026-09-01T11:06:00+07:00,2026-09-01T11:16:58.260428642+07:00,3852.7,LONG_QUEUE
T0052,D0052,V0052,N0282899,N0302893,2026-09-01T11:12:00+07:00,2026-09-01T11:29:16.628920999+07:00,5708.5,FARTHER_BUT_FASTER
T0053,D0053,V0053,N0222488,N0245620,2026-09-01T11:18:00+07:00,2026-09-01T11:37:18.086412+07:00,8050.3,HEAVY_TRAFFIC
T0054,D0054,V0054,N0083072,N0063883,2026-09-01T11:24:00+07:00,2026-09-01T11:43:01.500855999+07:00,6537.7,INSUFFICIENT_RANGE
T0055,D0055,V0055,N0286762,N0198313,2026-09-01T11:30:00+07:00,2026-09-01T11:43:07.120599999+07:00,4156.4,GPS_NOISE
T0056,D0056,V0056,N0098465,N0326897,2026-09-01T11:36:00+07:00,2026-09-01T11:59:49.390400928+07:00,8267.8,GPS_MISSING
T0057,D0057,V0057,N0087560,N0087562,2026-09-01T11:42:00+07:00,2026-09-01T11:50:47.992799999+07:00,2640.0,PARALLEL_ROADS
T0058,D0058,V0058,N0087608,N0324467,2026-09-01T11:48:00+07:00,2026-09-01T12:04:08.248372500+07:00,4923.1,BRIDGE_AMBIGUITY
T0059,D0059,V0059,N0007999,N0157921,2026-09-01T11:54:00+07:00,2026-09-01T12:06:54.624593+07:00,5410.8,QUEUE_REALTIME_CHANGE
T0060,D0060,V0060,N0241417,N0329088,2026-09-01T12:00:00+07:00,2026-09-01T12:19:31.936228500+07:00,8972.1,TRAFFIC_REALTIME_CHANGE
T0061,D0001,V0001,N0286902,N0006720,2026-09-01T12:06:00+07:00,2026-09-01T12:29:07.012712499+07:00,8696.4,STATION_STATUS_CHANGE
T0062,D0002,V0002,N0311566,N0317078,2026-09-01T12:12:00+07:00,2026-09-01T12:20:51.258085285+07:00,4276.7,NO_AVAILABLE_STATION
T0063,D0003,V0003,N0076899,N0076648,2026-09-01T12:18:00+07:00,2026-09-01T12:29:15.310408+07:00,3491.0,NEAR_TIE_STATIONS
T0064,D0004,V0004,N0215653,N0274276,2026-09-01T12:24:00+07:00,2026-09-01T12:42:01.854561999+07:00,8652.0,NORMAL_TRIP
T0065,D0005,V0005,N0257891,N0016067,2026-09-01T12:30:00+07:00,2026-09-01T12:50:21.455589999+07:00,8545.1,NO_SERVICE_NEEDED
T0066,D0006,V0006,N0143564,N0143542,2026-09-01T12:36:00+07:00,2026-09-01T12:47:48.465455999+07:00,4919.9,LOW_SOC
T0067,D0007,V0007,N0167245,N0068649,2026-09-01T12:42:00+07:00,2026-09-01T12:59:54.900336+07:00,6539.7,NEED_CHARGING
T0068,D0012,V0012,N0049119,N0304672,2026-09-01T12:48:00+07:00,2026-09-01T13:01:14.987929999+07:00,6266.6,NEED_SWAP
T0069,D0009,V0009,N0052280,N0270123,2026-09-01T12:54:00+07:00,2026-09-01T13:09:44.316066999+07:00,5580.1,NEAREST_FULL
T0070,D0010,V0010,N0242958,N0046446,2026-09-01T13:00:00+07:00,2026-09-01T13:18:15.079313999+07:00,8258.3,STATION_OFFLINE
T0071,D0011,V0011,N0080371,N0081484,2026-09-01T13:06:00+07:00,2026-09-01T13:13:26.198943071+07:00,3582.7,INCOMPATIBLE_STATION
T0072,D0012,V0012,N0316238,N0148764,2026-09-01T13:12:00+07:00,2026-09-01T13:28:44.825406499+07:00,6438.1,LONG_QUEUE
T0073,D0013,V0013,N0225265,N0225228,2026-09-01T13:18:00+07:00,2026-09-01T13:38:27.181054499+07:00,9004.2,FARTHER_BUT_FASTER
T0074,D0014,V0014,N0005244,N0267125,2026-09-01T13:24:00+07:00,2026-09-01T13:40:19.963463071+07:00,6859.2,HEAVY_TRAFFIC
T0075,D0015,V0015,N0197425,N0239720,2026-09-01T13:30:00+07:00,2026-09-01T13:45:01.463102499+07:00,6273.5,INSUFFICIENT_RANGE
T0076,D0016,V0016,N0291345,N0103904,2026-09-01T13:36:00+07:00,2026-09-01T13:43:57.586478499+07:00,2946.3,GPS_NOISE
T0077,D0017,V0017,N0274753,N0278110,2026-09-01T13:42:00+07:00,2026-09-01T14:05:11.450786714+07:00,8080.2,GPS_MISSING
T0078,D0018,V0018,N0063871,N0037133,2026-09-01T13:48:00+07:00,2026-09-01T14:02:27.952907999+07:00,7254.9,PARALLEL_ROADS
T0079,D0019,V0019,N0124878,N0111937,2026-09-01T13:54:00+07:00,2026-09-01T14:08:14.160654500+07:00,7520.3,BRIDGE_AMBIGUITY
T0080,D0020,V0020,N0084669,N0177226,2026-09-01T14:00:00+07:00,2026-09-01T14:16:04.572799999+07:00,4875.5,QUEUE_REALTIME_CHANGE
T0081,D0021,V0021,N0083704,N0304674,2026-09-01T14:06:00+07:00,2026-09-01T14:22:29.189072571+07:00,6870.5,TRAFFIC_REALTIME_CHANGE
T0082,D0022,V0022,N0095181,N0095286,2026-09-01T14:12:00+07:00,2026-09-01T14:28:49.368447999+07:00,6585.7,STATION_STATUS_CHANGE
T0083,D0023,V0023,N0146261,N0146080,2026-09-01T14:18:00+07:00,2026-09-01T14:24:26.181504+07:00,2681.8,NO_AVAILABLE_STATION
T0084,D0024,V0024,N0117099,N0102269,2026-09-01T14:24:00+07:00,2026-09-01T14:38:22.038216714+07:00,5557.8,NEAR_TIE_STATIONS
T0085,D0025,V0025,N0225033,N0056715,2026-09-01T14:30:00+07:00,2026-09-01T14:36:45.142703999+07:00,2813.5,NORMAL_TRIP
T0086,D0026,V0026,N0289158,N0164634,2026-09-01T14:36:00+07:00,2026-09-01T14:57:22.377368428+07:00,8936.4,NO_SERVICE_NEEDED
T0087,D0027,V0027,N0197634,N0197625,2026-09-01T14:42:00+07:00,2026-09-01T14:58:21.621792+07:00,6816.8,LOW_SOC
T0088,D0028,V0028,N0022838,N0160984,2026-09-01T14:48:00+07:00,2026-09-01T15:02:26.716528785+07:00,6905.1,NEED_CHARGING
T0089,D0015,V0015,N0127775,N0004797,2026-09-01T14:54:00+07:00,2026-09-01T15:09:00.740152142+07:00,6144.1,NEED_SWAP
T0090,D0030,V0030,N0096945,N0101235,2026-09-01T15:00:00+07:00,2026-09-01T15:11:23.400923999+07:00,4852.9,NEAREST_FULL
T0091,D0031,V0031,N0135635,N0001525,2026-09-01T15:06:00+07:00,2026-09-01T15:13:16.279038785+07:00,2813.8,STATION_OFFLINE
T0092,D0032,V0032,N0247237,N0087043,2026-09-01T15:12:00+07:00,2026-09-01T15:28:57.346807999+07:00,7014.0,INCOMPATIBLE_STATION
T0093,D0033,V0033,N0056989,N0056985,2026-09-01T15:18:00+07:00,2026-09-01T15:33:27.406319999+07:00,5952.0,LONG_QUEUE
T0094,D0034,V0034,N0041235,N0307947,2026-09-01T15:24:00+07:00,2026-09-01T15:45:25.961535999+07:00,7418.4,FARTHER_BUT_FASTER
T0095,D0035,V0035,N0085877,N0186502,2026-09-01T15:30:00+07:00,2026-09-01T15:38:11.362328+07:00,3023.2,HEAVY_TRAFFIC
T0096,D0036,V0036,N0050978,N0050985,2026-09-01T15:36:00+07:00,2026-09-01T15:48:27.707324500+07:00,4966.2,INSUFFICIENT_RANGE
T0097,D0037,V0037,N0058185,N0058248,2026-09-01T15:42:00+07:00,2026-09-01T15:50:26.054694857+07:00,3518.1,GPS_NOISE
T0098,D0038,V0038,N0303755,N0205425,2026-09-01T15:48:00+07:00,2026-09-01T15:58:31.480495999+07:00,4272.3,GPS_MISSING
T0099,D0039,V0039,N0270358,N0087112,2026-09-01T15:54:00+07:00,2026-09-01T16:13:44.209517+07:00,6855.6,PARALLEL_ROADS
T0100,D0040,V0040,N0325422,N0047153,2026-09-01T16:00:00+07:00,2026-09-01T16:19:59.694417142+07:00,6321.0,BRIDGE_AMBIGUITY
T0101,D0041,V0041,N0214493,N0214503,2026-09-01T16:06:00+07:00,2026-09-01T16:22:56.462047500+07:00,7205.4,QUEUE_REALTIME_CHANGE
T0102,D0042,V0042,N0294495,N0000663,2026-09-01T16:12:00+07:00,2026-09-01T16:25:52.363621285+07:00,4970.4,TRAFFIC_REALTIME_CHANGE
T0103,D0043,V0043,N0029068,N0202101,2026-09-01T16:18:00+07:00,2026-09-01T16:32:23.249133714+07:00,5305.8,STATION_STATUS_CHANGE
T0104,D0044,V0044,N0205613,N0040494,2026-09-01T16:24:00+07:00,2026-09-01T16:43:07.251838285+07:00,7795.6,NO_AVAILABLE_STATION
T0105,D0045,V0045,N0334339,N0327348,2026-09-01T16:30:00+07:00,2026-09-01T16:45:09.178380571+07:00,5573.2,NEAR_TIE_STATIONS
T0106,D0046,V0046,N0041773,N0041996,2026-09-01T16:36:00+07:00,2026-09-01T16:43:18.069642428+07:00,3535.4,NORMAL_TRIP
T0107,D0047,V0047,N0156178,N0042493,2026-09-01T16:42:00+07:00,2026-09-01T17:00:11.887491428+07:00,5784.0,NO_SERVICE_NEEDED
T0108,D0048,V0048,N0178305,N0178231,2026-09-01T16:48:00+07:00,2026-09-01T16:56:45.698800+07:00,2628.5,LOW_SOC
T0109,D0049,V0049,N0113887,N0111236,2026-09-01T16:54:00+07:00,2026-09-01T17:14:31.495509357+07:00,8595.7,NEED_CHARGING
T0110,D0018,V0018,N0139854,N0018792,2026-09-01T17:00:00+07:00,2026-09-01T17:21:17.620245571+07:00,7291.4,NEED_SWAP
T0111,D0051,V0051,N0006892,N0161949,2026-09-01T17:06:00+07:00,2026-09-01T17:23:46.078007428+07:00,7517.3,NEAREST_FULL
T0112,D0052,V0052,N0294220,N0015329,2026-09-01T17:12:00+07:00,2026-09-01T17:35:39.423019428+07:00,8695.7,STATION_OFFLINE
T0113,D0053,V0053,N0323260,N0244116,2026-09-01T17:18:00+07:00,2026-09-01T17:28:00.828660+07:00,4462.5,INCOMPATIBLE_STATION
T0114,D0054,V0054,N0294382,N0294382,2026-09-01T17:24:00+07:00,2026-09-01T17:38:08.105999999+07:00,4240.5,LONG_QUEUE
T0115,D0055,V0055,N0323813,N0001416,2026-09-01T17:30:00+07:00,2026-09-01T17:43:45.666435999+07:00,4492.5,FARTHER_BUT_FASTER
T0116,D0056,V0056,N0155621,N0219275,2026-09-01T17:36:00+07:00,2026-09-01T17:47:24.809136+07:00,4755.6,HEAVY_TRAFFIC
T0117,D0057,V0057,N0214594,N0050619,2026-09-01T17:42:00+07:00,2026-09-01T17:53:04.501328999+07:00,4761.0,INSUFFICIENT_RANGE
T0118,D0058,V0058,N0247722,N0195851,2026-09-01T17:48:00+07:00,2026-09-01T18:04:48.036199999+07:00,5040.2,GPS_NOISE
T0119,D0059,V0059,N0145176,N0145306,2026-09-01T17:54:00+07:00,2026-09-01T18:00:57.343122+07:00,3679.2,GPS_MISSING
T0120,D0060,V0060,N0004621,N0000586,2026-09-01T18:00:00+07:00,2026-09-01T18:08:22.381415428+07:00,3924.9,PARALLEL_ROADS
T0121,D0001,V0001,N0082416,N0082334,2026-09-01T18:06:00+07:00,2026-09-01T18:15:16.552512+07:00,3762.7,BRIDGE_AMBIGUITY
T0122,D0002,V0002,N0161549,N0106943,2026-09-01T18:12:00+07:00,2026-09-01T18:30:35.877671500+07:00,6267.4,QUEUE_REALTIME_CHANGE
T0123,D0003,V0003,N0173777,N0205800,2026-09-01T18:18:00+07:00,2026-09-01T18:26:40.636247999+07:00,2733.4,TRAFFIC_REALTIME_CHANGE
T0124,D0004,V0004,N0297610,N0018446,2026-09-01T18:24:00+07:00,2026-09-01T18:29:57.696899999+07:00,3309.7,STATION_STATUS_CHANGE
T0125,D0005,V0005,N0231770,N0202080,2026-09-01T18:30:00+07:00,2026-09-01T18:48:06.368111999+07:00,7544.2,NO_AVAILABLE_STATION
T0126,D0006,V0006,N0085732,N0178278,2026-09-01T18:36:00+07:00,2026-09-01T18:58:10.459984+07:00,6741.7,NEAR_TIE_STATIONS
T0127,D0007,V0007,N0083893,N0278869,2026-09-01T18:42:00+07:00,2026-09-01T18:53:25.409454+07:00,5040.9,NORMAL_TRIP
T0128,D0008,V0008,N0235059,N0044725,2026-09-01T18:48:00+07:00,2026-09-01T18:55:03.860516999+07:00,3012.5,NO_SERVICE_NEEDED
T0129,D0009,V0009,N0000802,N0188662,2026-09-01T18:54:00+07:00,2026-09-01T19:17:31.566517+07:00,8231.3,LOW_SOC
T0130,D0010,V0010,N0129206,N0243262,2026-09-01T19:00:00+07:00,2026-09-01T19:06:10.861799999+07:00,2771.9,NEED_CHARGING
T0131,D0021,V0021,N0058210,N0058303,2026-09-01T19:06:00+07:00,2026-09-01T19:22:06.810672+07:00,6714.0,NEED_SWAP
T0132,D0012,V0012,N0038687,N0038657,2026-09-01T19:12:00+07:00,2026-09-01T19:29:03.524649999+07:00,6954.7,NEAREST_FULL
T0133,D0013,V0013,N0143973,N0143891,2026-09-01T19:18:00+07:00,2026-09-01T19:28:22.095654857+07:00,4426.8,STATION_OFFLINE
T0134,D0014,V0014,N0290520,N0290496,2026-09-01T19:24:00+07:00,2026-09-01T19:40:18.608447999+07:00,5489.2,INCOMPATIBLE_STATION
T0135,D0015,V0015,N0222473,N0034293,2026-09-01T19:30:00+07:00,2026-09-01T19:53:58.753714857+07:00,8771.3,LONG_QUEUE
T0136,D0016,V0016,N0221468,N0093125,2026-09-01T19:36:00+07:00,2026-09-01T19:47:40.993511999+07:00,4928.8,FARTHER_BUT_FASTER
T0137,D0017,V0017,N0122883,N0194713,2026-09-01T19:42:00+07:00,2026-09-01T19:54:12.183039999+07:00,4825.9,HEAVY_TRAFFIC
T0138,D0018,V0018,N0063842,N0063823,2026-09-01T19:48:00+07:00,2026-09-01T20:00:46.860740499+07:00,5339.9,INSUFFICIENT_RANGE
T0139,D0019,V0019,N0132481,N0132395,2026-09-01T19:54:00+07:00,2026-09-01T20:10:42.192103+07:00,6874.0,GPS_NOISE
T0140,D0020,V0020,N0102013,N0172374,2026-09-01T20:00:00+07:00,2026-09-01T20:21:35.820534142+07:00,8846.7,GPS_MISSING
T0141,D0021,V0021,N0156250,N0047426,2026-09-01T20:06:00+07:00,2026-09-01T20:26:54.910535999+07:00,7796.0,PARALLEL_ROADS
T0142,D0022,V0022,N0227472,N0245107,2026-09-01T20:12:00+07:00,2026-09-01T20:29:35.465423999+07:00,7329.6,BRIDGE_AMBIGUITY
T0143,D0023,V0023,N0036819,N0073851,2026-09-01T20:18:00+07:00,2026-09-01T20:35:11.307338499+07:00,7779.0,QUEUE_REALTIME_CHANGE
T0144,D0024,V0024,N0230418,N0138669,2026-09-01T20:24:00+07:00,2026-09-01T20:43:46.449738+07:00,8102.1,TRAFFIC_REALTIME_CHANGE
T0145,D0025,V0025,N0056269,N0056261,2026-09-01T06:00:00+07:00,2026-09-01T06:10:22.377924+07:00,3961.4,STATION_STATUS_CHANGE
T0146,D0026,V0026,N0309746,N0227318,2026-09-01T06:06:00+07:00,2026-09-01T06:16:58.128116571+07:00,4761.1,NO_AVAILABLE_STATION
T0147,D0027,V0027,N0188232,N0030314,2026-09-01T06:12:00+07:00,2026-09-01T06:34:59.717767214+07:00,8811.0,NEAR_TIE_STATIONS
T0148,D0028,V0028,N0220919,N0212730,2026-09-01T06:18:00+07:00,2026-09-01T06:39:39.348888+07:00,7709.5,NORMAL_TRIP
T0149,D0029,V0029,N0311455,N0228798,2026-09-01T06:24:00+07:00,2026-09-01T06:47:41.107962642+07:00,8739.1,NO_SERVICE_NEEDED
T0150,D0030,V0030,N0295763,N0008426,2026-09-01T06:30:00+07:00,2026-09-01T06:42:51.004331999+07:00,5440.0,LOW_SOC
