vehicle_id,driver_id,vehicle_type,vehicle_model,battery_architecture,battery_capacity_kwh,battery_module_capacity_kwh,max_battery_modules,installed_battery_modules,usable_capacity_kwh,consumption_wh_per_km,minimum_safe_soc_pct,charging_supported,swap_supported,public_swap_compatible,connector_type,battery_type,charging_interface_class,swap_battery_family
V0049,D0049,EV_CAR,VF_8,FIXED_TRACTION_PACK,87.7,,,,80.68,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0050,D0050,EV_CAR,VF_9,FIXED_TRACTION_PACK,123.0,,,,113.16,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0052,D0052,EV_CAR,VF_E34,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0053,D0053,EV_CAR,NERIO_GREEN,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0055,D0055,EV_CAR,VF_3,FIXED_TRACTION_PACK,18.64,,,,17.15,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0056,D0056,EV_CAR,VF_5,FIXED_TRACTION_PACK,37.23,,,,34.25,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0058,D0058,EV_CAR,VF_6,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0059,D0059,EV_CAR,VF_7_ECO,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0003,D0003,EV_MOTORBIKE,EVO,REMOVABLE_SWAP_MODULE,3.0,1.5,2.0,2.0,2.76,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0006,D0006,EV_MOTORBIKE,EVO_LITE,REMOVABLE_SWAP_MODULE,1.5,1.5,2.0,1.0,1.38,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0009,D0009,EV_MOTORBIKE,FELIZ_II,REMOVABLE_SWAP_MODULE,3.0,1.5,2.0,2.0,2.76,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0012,D0012,EV_MOTORBIKE,VIPER,REMOVABLE_SWAP_MODULE,1.5,1.5,2.0,1.0,1.38,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0015,D0015,EV_MOTORBIKE,EVO,REMOVABLE_SWAP_MODULE,3.0,1.5,2.0,2.0,2.76,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0018,D0018,EV_MOTORBIKE,EVO_LITE,REMOVABLE_SWAP_MODULE,1.5,1.5,2.0,1.0,1.38,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0021,D0021,EV_MOTORBIKE,FELIZ_II,REMOVABLE_SWAP_MODULE,3.0,1.5,2.0,2.0,2.76,45,15,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH
V0024,D0024,EV_MOTORBIKE,EVO200,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0027,D0027,EV_MOTORBIKE,EVO200_LITE,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0030,D0030,EV_MOTORBIKE,FELIZ_S,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0033,D0033,EV_MOTORBIKE,KLARA_S_2022,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0036,D0036,EV_MOTORBIKE,VENTO_S,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0039,D0039,EV_MOTORBIKE,EVO200,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0042,D0042,EV_MOTORBIKE,EVO200_LITE,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0045,D0045,EV_MOTORBIKE,FELIZ_S,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0048,D0048,EV_MOTORBIKE,KLARA_S_2022,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0051,D0051,EV_MOTORBIKE,VENTO_S,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0054,D0054,EV_MOTORBIKE,EVO200,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0057,D0057,EV_MOTORBIKE,EVO200_LITE,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
V0060,D0060,EV_MOTORBIKE,FELIZ_S,FIXED_OR_INTEGRATED_LFP,3.5,,,,3.22,45,15,True,False,False,VINFAST_MOTORCYCLE_CHARGING,FIXED_OR_INTEGRATED_LFP,VINFAST_MOTORCYCLE_CHARGING,
